card_id,company,card_name,card_type,image_url,link_url
AAP0104,삼성,르네시떼삼성빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0104
AAP0105,삼성,르네시떼삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0105
AAP0106,삼성,르네시떼삼성지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0106
AAP0107,삼성,르노삼성자동차 삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0107
AAP0108,삼성,SFC 신세계르노삼성자동차 삼성애니패스포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0108
AAP0111,삼성,리더스 삼성빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0111
AAP0112,삼성,리더스 삼성애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0112
AAP0113,삼성,리더스 삼성지엔미카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0113
AAP0114,삼성,리브로 삼성애니패스포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0114
AAP0115,삼성,리브로 삼성지엔미포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0115
AAP0116,삼성,리츠칼튼호텔삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0116
AAP0117,삼성,마루삼성애니패스포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0117
AAP0118,삼성,마루삼성지엔미포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0118
AAP0119,삼성,마루삼성티클래스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0119
AAP0120,삼성,마린삼성마이키즈플러스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0120
AAP0121,삼성,마린삼성에스마일카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0121
AAP0122,삼성,마린 삼성티클래스앤오일카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0122
AAP0126,삼성,맥켄리삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0126
AAP0127,삼성,메가티즌 삼성애니패스포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0127
AAP0128,삼성,메가티즌 삼성지엔미포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0128
AAP0129,삼성,메디칼닥터스카이패스삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0129
AAP0130,삼성,메디클럽 삼성빅앤빅카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0130
AAP0131,삼성,무비매니아 삼성애니패스포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0131
AAP0132,삼성,무비매니아 삼성지엔미포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0132
AAP0136,삼성,밀레니엄삼성빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0136
AAP0137,삼성,밀레니엄삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0137
AAP0138,삼성,밀레니엄삼성애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0138
AAP0142,삼성,범죄예방한마음삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0142
AAP0143,삼성,베스트화물삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0143
AAP0144,삼성,베스트개인택시삼성럭투유카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0144
AAP0145,삼성,베스트개인택시르노삼성자동차카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0145
AAP0146,삼성,베스트개인택시삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0146
AAP0147,삼성,베스트용달화물삼성럭투유카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0147
AAP0148,삼성,베스트용달화물삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0148
AAP0149,삼성,베스트용달화물삼성애니패스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0149
AAP0150,삼성,베이비유삼성마이키즈플러스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0150
AAP0151,삼성,베이비유삼성애니패스e포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0151
AAP0152,삼성,베이비유삼성지엔미e포인트카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0152
AAP0153,삼성,부산하나로삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0153
AAP0154,삼성,불자삼성마이키즈카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0154
AAP0155,삼성,불자삼성빅보너스카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0155
AAP0156,삼성,불자아시아나삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0156
AAP0157,삼성,불자스카이패스삼성카드,,,https://www.samsungcard.com/home/card/cardinfo/PGHPPCCCardCardinfoDetails001?code=AAP0157
