card_id,company,card_name,card_type,network,is_domestic_foreign,has_transport,annual_fee_dom_basic,annual_fee_dom_premium,annual_fee_for_basic,annual_fee_for_premium,annual_fee_notes,min_performance,summary,image_url,link_url,has_cashback,fee_content,updated_at,
ZRUP,현대,현대카드 ZERO Up,신용,"VISA,AMEX",TRUE,TRUE,30000,0,30000,0,"(기본연회비 10,000원 + 제휴연회비 20,000원)
가족카드 10,000원(기본연회비 0원 + 제휴연회비 10,000원)",0,온라인몰·대형마트·교육·주유·이동통신 요금 1.6% 할인 | 국내외 가맹점 0.8% 할인 | 최대 50만 긴급할인 | (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_ZRUP_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZRUP,TRUE,,2026-06-03 15:24,
MZROE3,현대,현대카드ZERO Edition3(포인트형),신용,"VISA,AMEX",TRUE,TRUE,15000,0,15000,0,"(기본연회비 10,000원 + 제휴연회비 5,000원)
가족카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",0,국내외 가맹점 1.2% M포인트 적립 | 최대 50만 M포인트 긴급적립 | (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_MZROE3_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=MZROE3,TRUE,,2026-06-03 15:24,
ZROE3,현대,현대카드ZERO Edition3(할인형),신용,"VISA,AMEX",TRUE,TRUE,15000,0,15000,0,"(기본연회비 10,000원 + 제휴연회비 5,000원)
가족카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",0,국내외 가맹점 0.8% 할인 | 최대 50만 긴급할인 | (선지급 포인트 서비스),https://www.hyundaicard.com/img/com/card/card_ZROE3_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZROE3,TRUE,,2026-06-03 15:26,
AMPTE2,현대,American ExpressThe Platinum Card®Edition2,신용,AMEX,TRUE,TRUE,1000000,0,1000000,0,"(기본연회비 300,000원 + 제휴연회비 700,000원)
가족카드 200,000원(기본연회비 0원 + 제휴연회비 200,000원)",500000,"1,000원당1~5 멤버십 리워즈적립 | 연간 보너스85만원 상당바우처 제공 |공항라운지연 10회무료 이용",000원당 1~5 멤버십 리워즈적립 | 연간 보너스 85만원 상당바우처 제공 | 공항라운지 연 10회 무료 이용,https://www.hyundaicard.com/img/com/card/card_AMPTE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=AMPTE2,FALSE,,2026-06-03 15:26
AMGLE2,현대,American Express®Gold Card Edition2,신용,AMEX,TRUE,TRUE,300000,0,300000,0,"(기본연회비 100,000원 + 제휴연회비 200,000원)
가족카드 100,000원(기본연회비 0원 + 제휴연회비 100,000원)",500000,바우처 연간 25만원상당 | 전 세계 공항라운지 연 10회무료 이용 | 멤버십리워즈(MR) 최대 3MR적립,https://www.hyundaicard.com/img/com/card/card_AMGLE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=AMGLE2,FALSE,,2026-06-03 15:28,
AMGRE2,현대,American Express®Green Card Edition2,신용,AMEX,TRUE,TRUE,150000,0,150000,0,"(기본연회비 50,000원 + 제휴연회비 100,000원)
가족카드 50,000원(기본연회비 0원 + 제휴연회비 50,000원)",500000,바우처 연간 12만원상당| 전 세계 공항라운지 연 5회무료 이용 | 멤버십리워즈(MR) 최대 2MR적립,https://www.hyundaicard.com/img/com/card/card_AMGRE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=AMGRE2,FALSE,,2026-06-03 15:30,
NVE2,현대,네이버 현대카드 Edition2,신용,"VISA,AMEX",TRUE,TRUE,20000,0,20000,0,"(기본연회비 10,000원 + 제휴연회비 10,000원)",500000,네이버 최대 7% 적립 | 그 외 국내외 가맹점 0.7% 적립,https://www.hyundaicard.com/img/com/card/card_NVE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=NVE2,FALSE,,2026-06-05,
OLVYHC,현대,올리브영 현대카드,신용,"VISA,AMEX",TRUE,TRUE,30000,0,30000,0,"(기본연회비 10,000원 + 제휴연회비 20,000원)
가족카드 10,000원(기본연회비 0원 + 제휴연회비 10,000원)",400000,올리브영에서 최대 5% | 그 외 국내외 가맹점에서 1% | 리워드 적용금액 산정 | 누적 1천원 당 리워드 1매 | (전월 이용 금액 40만원 이상 시),https://www.hyundaicard.com/img/com/card/card_OLVYHC_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=OLVYHC,FALSE,,2026-06-03 15:33,
NXNX,현대,넥슨 현대카드 Edition2,신용,"Mastercard,AMEX",TRUE,TRUE,20000,0,20000,0,"(기본연회비 10,000원 + 제휴연회비 10,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",200000,마비노기 모바일팩 100원당 | 1 넥슨 현대카드 M캐시 적립 | 넥슨팩 10% | 넥슨 현대카드 포인트2 적립,https://www.hyundaicard.com/img/com/card/card_NXNX_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=NXNX,TRUE,,2026-06-03 15:33,
GEPHC,현대,에너지플러스 현대카드,신용,"VISA,AMEX",TRUE,TRUE,10000,0,10000,0,"(기본연회비 5,000원 + 제휴연회비 5,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",400000,내 주변 5km 최저가 주유 | GS칼텍스 앱 결제 추가 5% 할인 | 주차·세차·정비 5% 할인,https://www.hyundaicard.com/img/com/card/card_GEPHC_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=GEPHC,TRUE,,2026-06-03 15:34,
TGE3,현대,the Green Edition3,신용,VISA,TRUE,TRUE,150000,0,150000,0,"(기본연회비 50,000원 + 제휴연회비 100,000원)
가족카드 50,000원(기본연회비 0원 + 제휴연회비 50,000원)",500000,"연간 최대 100만 | the Green 바우처 교환 | 여행·해외 영역 5% 적립 | 공항 라운지, 발레파킹 무료",https://www.hyundaicard.com/img/com/card/card_TGE3_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=TGE3,FALSE,,2026-06-03 16:00,
ZWE2,현대,현대카드Z work Edition2,신용,"VISA,AMEX",TRUE,TRUE,20000,0,20000,0,"(기본연회비 10,000원 + 제휴연회비 10,000원)
가족카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",500000,출퇴근 영역 10% 할인 | ①온라인 쇼핑몰 ②편의점 | ③커피전문점 ④대중교통 ⑤도서 | K-패스 또는 후불형 기후동행카드 신청 가능,https://www.hyundaicard.com/img/com/card/card_ZWE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZWE2,TRUE,,2026-06-03 16:03,
ZOE2,현대,현대카드Z play,신용,"VISA,AMEX",TRUE,TRUE,20000,0,20000,0,"(기본연회비 10,000원 + 제휴연회비 10,000원)
가족카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",500000,플레이 영역 10% 할인 | ①온라인 쇼핑몰 ②일반음식점 | ③영화 ④해외 가맹점 ⑤디지털 콘텐츠 서비스,https://www.hyundaicard.com/img/com/card/card_ZOE2_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ZOE2,TRUE,,2026-06-03 16:05,
ESPE3,현대,SmileCard Edition3,신용,"VISA,AMEX",TRUE,TRUE,20000,0,20000,0,"(기본연회비 10,000원 + 제휴연회비 10,000원)",300000,어디서든 최대 2% 적립,https://www.hyundaicard.com/img/com/card/card_ESPE3_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=ESPE3,FALSE,,2026-06-03 16:25,
NOLHC,현대,NOL 카드,신용,"VISA,AMEX",TRUE,TRUE,20000,0,20000,0,"(기본연회비 10,000원 + 제휴연회비 10,000원)
가족 카드 5,000원(기본연회비 0원 + 제휴연회비 5,000원)",400000,NOL·NOL 인터파크(NOL 인터파크투어/NOL 티켓)· | 트리플 10% 적립 | 커피·영화·해외 등 10% 적립 | 국내 공항 라운지 무료 이용,https://www.hyundaicard.com/img/com/card/card_NOLHC_h.png,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=NOLHC,FALSE,,2026-06-03 16:28,
